gene,0h R1,0h R2,0h R3,1h R1,1h R2,1h R3,2h R1,2h R2,2h R3,3h R1,3h R2,3h R3,4h R1,4h R2,4h R3,5h R1,5h R2,5h R3,6h R1,6h R2,6h R3
B3gnt1,7.6,7.6,7.6,7.9,7.7,7.8,8.0,8.0,8.0,8.3,8.2,8.1,8.1,8.1,8.6,8.1,8.3,8.0,8.1,8.4,8.1
Xbp1,9.6,9.5,9.5,9.8,9.7,9.5,10.1,10.0,10.0,10.0,10.1,10.1,10.2,10.0,10.5,10.1,10.4,10.1,10.0,10.2,10.1
Ctnnal1,9.1,9.4,9.3,9.2,9.3,9.2,9.5,9.4,9.4,9.5,9.7,9.5,9.8,9.6,10.1,9.9,9.7,9.8,9.9,9.8,9.7
1110032A13Rik,9.3,9.8,9.5,9.8,9.7,9.8,9.9,9.8,9.7,9.8,9.9,9.8,10.0,9.9,10.5,10.2,9.9,9.8,10.1,10.0,10.1
Slc7a3,10.8,10.8,10.7,10.8,11.0,10.8,11.1,11.0,11.3,11.4,11.2,11.3,11.4,11.2,11.6,11.3,11.5,11.3,11.3,11.4,11.1
Ets2,7.5,7.8,7.6,7.8,7.9,7.8,8.0,8.2,8.1,8.2,8.1,8.2,8.3,8.1,8.6,8.4,8.4,8.2,8.3,8.1,8.1
Cdh3,6.9,6.8,7.0,7.0,6.9,7.0,7.3,7.2,7.2,7.4,7.4,7.2,7.4,7.4,7.5,7.3,7.5,7.3,7.4,7.4,7.4
Lmo4,9.5,9.6,9.7,9.9,9.9,9.8,10.2,10.1,10.2,10.7,10.3,10.0,10.1,10.2,10.7,10.2,10.3,10.2,10.0,10.2,10.0
Setd1b,7.5,7.6,7.5,7.7,7.6,7.8,8.0,8.0,7.8,8.2,8.1,8.0,8.1,8.1,8.5,8.1,8.3,8.2,8.0,8.1,7.9
Trh,11.1,11.2,11.0,11.1,11.3,11.3,11.5,11.4,11.5,11.8,11.6,11.6,11.7,11.6,11.8,11.8,11.7,11.7,11.5,11.7,11.6
Pdpk1,7.4,7.8,7.6,7.9,7.9,7.9,8.1,7.8,7.9,8.0,8.0,8.1,8.2,7.9,8.5,8.1,8.0,7.7,8.0,8.2,8.0
Sox21,7.3,7.6,7.7,8.0,8.0,8.1,8.4,8.3,8.2,8.1,8.2,8.3,8.2,8.1,8.3,8.1,8.0,7.9,8.2,8.1,7.8
Kit,7.4,7.4,7.3,7.4,7.5,7.3,7.6,7.6,7.7,7.5,7.8,7.8,7.8,7.8,7.6,7.9,7.9,8.1,8.0,7.7,7.9
Sp5,7.3,7.0,7.4,7.4,7.1,7.3,7.6,7.5,7.5,7.7,7.7,7.7,7.6,7.7,8.1,7.6,8.0,7.5,7.7,7.8,7.5
Socs3,9.3,9.6,9.5,9.0,8.8,8.8,9.2,9.1,9.3,9.2,9.3,9.1,9.2,9.2,9.4,9.3,9.2,9.2,9.2,9.2,9.1
Dusp1,9.1,9.3,9.2,8.8,8.7,8.7,8.7,8.5,8.6,8.7,8.6,8.6,8.8,8.8,9.0,8.9,8.9,9.0,8.9,9.0,8.8
AL670941.2,9.9,9.6,9.8,9.6,9.7,9.8,9.5,9.6,9.7,9.4,9.4,9.5,9.3,9.4,8.6,9.5,9.5,9.7,9.4,9.3,9.4
