gene,E14Tg2a-1,E14Tg2a-2,E14Tg2a-3,OctGip-1,OctGip-2,OctGip-3,OKO160-1,OKO160-2,OKO160-3,Z6-1,Z6-2,Z6-3
Txnl4a,10.9856,11.1181,11.1095,11.1772,10.9719,11.2701,10.686,10.8154,11.0051,10.8174,11.1409,11.0577
BC015286,6.5007,6.579,6.5776,6.6344,6.6255,6.5466,6.5911,6.596,6.535,6.5279,6.5275,6.5492
Slc35a4,9.2468,9.1675,9.073,8.7599,9.2743,9.0962,9.0181,9.0391,8.989,9.1238,9.1015,8.6403
Dctn4,8.7233,8.8276,8.7043,8.5859,8.748,8.776,8.5475,8.6857,8.6747,8.5508,8.5037,8.6263
Igdcc4,8.0219,7.3813,7.8494,8.0847,7.7992,7.5487,7.3262,7.1376,7.2334,7.6048,7.2595,8.4339
Gcgr,6.7703,6.7308,6.706,6.6198,6.6186,6.7437,6.6746,6.666,6.7377,6.6993,6.7738,6.7179
Sp9,6.6387,6.5829,6.5722,6.6067,6.6261,6.6319,6.7021,6.6065,6.6634,6.6891,6.5609,6.5667
Amy2a5,6.6464,6.7342,6.7016,6.6701,6.7847,6.6462,6.6405,6.6037,6.6405,6.6742,6.7052,6.7304
Rhox11,6.727,6.6645,6.655,6.6225,6.6139,6.7151,6.6934,6.6478,6.5871,6.6399,6.6133,6.6386
Olfr154,6.5339,6.592,6.5147,6.5364,6.523,6.5647,6.5382,6.6217,6.5895,6.5345,6.5794,6.5654
4930403N07Rik,6.6102,6.5768,6.6624,6.5555,6.5581,6.6137,6.6885,6.5945,6.61,6.592,6.623,6.6889
Wnt10b,6.6328,6.5867,6.5968,6.5622,6.547,6.5509,6.5611,6.6122,6.6385,6.6056,6.5511,6.5488
Baz1a,7.1161,6.8245,6.9623,7.0829,6.838,7.001,7.0091,7.0485,7.1361,6.8175,6.9084,6.8509
Aldh18a1,6.6832,6.5538,6.5753,6.5818,6.5953,6.5164,6.7304,6.6467,6.6281,6.5868,6.6377,6.5771
Ern2,6.5784,6.7063,6.7236,6.6102,6.7065,6.7477,6.6695,6.7086,6.7793,6.5966,6.7614,6.7535
Csmd2,6.6981,6.5955,6.7062,6.6437,6.6956,6.697,6.6652,6.7991,6.8559,6.6591,6.7145,6.7075
RP23-57I15.6,6.6648,6.6254,6.5622,6.6573,6.6505,6.5417,6.5242,6.507,6.5814,6.7279,6.6238,6.6101
Cxcr5,6.676,6.5902,6.5874,6.6476,6.6581,6.611,6.651,6.6772,6.6059,6.6308,6.6413,6.615
Atp6v1b2,10.6827,10.6694,10.6479,10.6503,10.6136,10.4142,10.8567,10.7024,10.2337,10.9729,10.6359,10.7954
RP23-57I15.1,6.6386,6.5452,6.6325,6.621,6.6283,6.6053,6.674,6.633,6.5445,6.6361,6.6277,6.6093
Olfr1002,6.571,6.5401,6.5221,6.602,6.5285,6.4663,6.6017,6.559,6.4998,6.5539,6.6157,6.5799
Yipf4,6.5436,6.5866,6.5957,6.6625,6.5404,6.5507,6.5973,6.6294,6.616,6.5896,6.6377,6.6268
Lemd2,8.7477,8.5275,9.2006,9.1276,8.9394,8.9092,9.4488,9.2865,9.2108,9.6054,9.2124,9.3618
Fance,7.6724,7.8653,7.9023,7.8052,7.8247,7.8108,7.9301,8.0498,8.2619,7.8987,7.841,7.9305
D14Ertd449e,8.8915,8.7508,9.2139,8.9568,8.8318,8.8265,8.8424,9.0856,8.927,8.814,8.9198,9.0748
Mpv17l,6.6873,6.7049,6.7346,6.6596,6.7672,6.701,6.7026,6.6801,6.9322,6.711,6.7392,6.6855
Sec61a1,8.2702,8.5745,8.5057,8.398,8.6501,8.6292,8.3837,8.7125,8.6737,8.6565,8.5742,8.4755
Foxc1,6.6386,6.5172,6.468,6.4903,6.4836,6.5664,6.5751,6.5317,6.6155,6.6036,6.5574,6.5413
Ifitm6,6.557,6.6512,6.63,6.5352,6.6888,6.6527,6.5723,6.5895,6.5634,6.6109,6.6017,6.6739
Gimap8,6.6688,6.7501,6.7089,6.7245,6.757,6.7735,6.7477,6.7507,6.8405,6.63,6.7065,6.814
Col24a1,6.5822,6.6863,6.6613,6.7241,6.6402,6.5979,6.6513,6.633,6.6946,6.6079,6.6284,6.5902
Scyl2,6.7307,6.7889,6.7327,6.7403,6.6489,6.6978,6.7157,6.6549,6.7083,6.7002,6.7594,6.6976
Ptpro,6.6164,6.646,6.5734,6.589,6.545,6.5907,6.5677,6.6106,6.5184,6.6171,6.6358,6.5768
Col6a6,6.535,6.6666,6.5845,6.5206,6.6805,6.5295,6.5697,6.6455,6.5953,6.5598,6.6648,6.5104
Napepld,6.7521,6.8934,6.8394,6.7942,6.9542,6.8949,6.7968,6.8067,6.7766,6.6889,6.8475,6.8467
March8,6.9267,6.9069,6.8896,6.8791,6.8914,6.8561,6.7803,6.8501,6.8277,6.8601,6.7814,6.8797
2010002N04Rik,6.9963,6.7403,6.7742,6.8247,6.8621,6.7999,6.5754,6.6357,6.7299,6.5879,6.7826,6.7235
Olfr1000,6.6265,6.5786,6.616,6.5412,6.5838,6.5182,6.5898,6.5754,6.5757,6.6279,6.5755,6.5729
Ifitm3,11.6949,11.7573,11.3983,11.7626,12.1282,12.0842,11.2207,11.4801,11.2498,10.8597,11.131,11.3488
4930534B04Rik,6.6114,6.5537,6.5988,6.6327,6.6149,6.6246,6.678,6.6606,6.6054,6.7032,6.6378,6.6754
Zfp90,7.2422,7.2533,7.1534,7.3803,7.4245,7.2447,7.1922,7.2321,7.1928,7.2428,7.2585,7.3101
Cpt1b,6.8148,6.8261,6.8367,6.7383,6.7419,6.7687,6.7788,6.7992,6.9404,6.8032,6.7458,6.8713
Vdr,6.6576,6.5861,6.6521,6.6936,6.7669,6.7039,6.6405,6.7304,6.7358,6.6764,6.6629,6.6795
Swap70,7.6274,7.692,7.6363,7.8822,7.7978,7.7801,7.4899,7.465,7.2946,7.4835,7.5986,7.6136
Prl2c5,6.6735,6.6227,6.645,6.6133,6.6264,6.6458,6.6508,6.5531,6.6406,6.6314,6.6961,6.6992
AC163389.2,6.6631,6.7058,6.6898,6.7003,6.8107,6.6369,6.6966,6.8129,6.5649,6.6652,6.6578,6.7045
Polr2i,9.5632,10.2079,9.8565,9.6441,10.2979,10.3865,9.7644,10.1471,10.329,9.9673,10.2589,9.6882
Cytl1,6.658,6.5927,6.628,6.5702,6.6687,6.6054,6.6158,6.5468,6.5466,6.6436,6.7334,6.6024
1700007E06Rik,7.2337,7.1743,7.2858,7.3193,7.5186,7.3214,7.1629,7.1028,7.3701,7.1034,7.0029,7.5169
Tmem107,8.3893,8.6628,8.5713,8.1688,8.5235,8.5504,8.625,8.8845,9.0227,8.745,8.9507,8.7233
C230029F24Rik,6.59,6.699,6.764,6.557,6.6574,6.7161,6.6784,6.696,6.6614,6.6318,6.5532,6.6912
Actr2,6.6446,6.7127,6.713,6.6421,6.6848,6.6507,6.6493,6.7601,6.6962,6.662,6.5838,6.6906
Atp6ap2,10.7166,10.7213,10.7309,10.686,10.5278,10.3328,10.7166,10.5008,10.2986,10.8239,10.5431,11.0153
Sept5,6.5811,6.5328,6.5248,6.5499,6.5998,6.6138,6.5042,6.519,6.5306,6.5514,6.5957,6.5671
Hist2h4,8.4409,8.2619,8.8188,9.2621,9.2013,9.5443,9.5279,9.2024,9.6092,9.4672,9.1238,9.6105
Gart,10.172,10.1638,10.1096,10.3623,10.62,10.3823,10.3192,10.3926,10.2687,10.5015,10.3037,10.3157
Scarf2,7.4949,6.9651,7.2429,7.615,7.0718,7.0849,6.8605,6.7438,6.8562,6.9183,6.7544,7.1707
Foxf2,6.5406,6.5225,6.5844,6.5949,6.6195,6.5655,6.5611,6.5965,6.6038,6.5334,6.5537,6.5731
Phex,6.699,6.6634,6.7423,6.6438,6.6615,6.6155,6.7521,6.6672,6.7584,6.559,6.6951,6.6401
Nell1,6.6836,6.6082,6.7026,6.6111,6.5583,6.6977,6.6382,6.6269,6.6342,6.6132,6.6088,6.6157
AC116841.1,6.5121,6.6047,6.5279,6.6509,6.6482,6.6498,6.5109,6.6361,6.6728,6.8798,6.6952,6.6658
Asnsd1,8.0137,7.7023,7.951,7.6898,7.7738,7.8349,7.745,7.697,7.6559,7.9821,7.873,7.7997
Pcyt1a,7.8221,7.7943,7.7801,7.9905,7.7564,7.6932,7.9232,7.8646,7.7221,7.9343,7.8564,7.6915
Cdt1,11.309,11.3738,11.3327,11.5044,11.4894,11.5266,11.5044,11.5809,11.6001,11.5101,11.335,11.5564
Ppp4r1,10.638,10.6674,10.6359,10.4668,10.6682,10.5914,10.4576,10.5304,10.4022,10.3416,10.3116,10.4039
Olfr998,9.8229,10.0673,10.216,9.9831,10.1222,10.2133,10.036,10.1561,10.1576,10.2687,10.0925,10.0548
Ip6k3,6.6969,6.6443,6.5814,6.6866,6.6463,6.7106,6.667,6.6828,6.7161,6.6167,6.588,6.641
Slc25a10,7.0246,7.113,7.0666,7.0002,7.1482,7.1058,6.9305,6.9631,7.16,7.2184,7.2145,7.0027
Fam105a,6.6244,6.6042,6.514,6.6176,6.5952,6.6057,6.6662,6.5641,6.6189,6.6292,6.6538,6.598
1200009O22Rik,6.8214,6.9972,6.9801,6.7212,7.0193,7.257,6.761,6.9066,7.2687,6.6149,6.7145,6.6826
Fbln1,7.9924,7.8395,8.0959,8.1112,8.071,8.3034,8.1211,7.9668,8.1038,8.2343,8.0499,8.1863
RP23-72P20.1,6.5739,6.5165,6.6067,6.5316,6.5583,6.5628,6.5974,6.5261,6.5704,6.5796,6.5329,6.5514
Taar4,6.657,6.7152,6.6284,6.6197,6.6008,6.5538,6.6375,6.6784,6.6001,6.6702,6.6087,6.6071
Actl7a,6.5912,6.6252,6.6331,6.5752,6.6122,6.6333,6.6294,6.66,6.643,6.6131,6.6415,6.5679
Ptf1a,6.5217,6.567,6.5979,6.556,6.6018,6.6498,6.6811,6.5952,6.5418,6.7074,6.6108,6.6354
Wee1,6.761,6.9187,6.8192,6.942,6.8448,6.9009,6.7952,6.8368,6.9751,6.7963,6.869,6.9158
Mobkl2b,6.9477,6.9663,6.8711,6.9396,7.0207,6.7822,6.8979,6.7456,6.6283,6.9777,6.8884,6.9356
Lce1b,6.6417,6.7091,6.6929,6.6575,6.705,6.7264,6.5983,6.6433,6.6903,6.613,6.6993,6.6957
Mrpl12,7.9723,7.8487,7.9767,8.2101,7.9717,7.7321,7.9253,7.616,7.6895,8.1067,7.8057,8.257
Olfr1351,6.691,6.6145,6.6283,6.5574,6.6994,6.6159,6.6088,6.6252,6.6101,6.6163,6.6887,6.6182
BX666061.2,6.6442,6.6355,6.6006,6.6417,6.6615,6.6667,6.709,6.6624,6.7227,6.6497,6.6191,6.6494
Zc3h13,8.3899,8.2093,8.1579,8.6239,8.3999,7.9471,9.0085,8.5417,8.3682,8.3766,8.0783,7.6323
Ppan,11.1063,11.0827,11.3366,11.1493,11.2516,11.4507,10.9761,11.0216,11.3765,10.8816,11.0965,10.941
Gm3893,6.5866,6.5738,6.5764,6.6655,6.5679,6.5911,6.6407,6.5275,6.6286,6.5528,6.6152,6.6865
Rpl28,7.7556,8.0971,7.8033,7.6948,7.7983,7.8794,7.6703,7.7843,7.9551,7.7317,7.8518,7.9279
Cyp2u1,6.6071,6.597,6.5767,6.6082,6.6046,6.5561,6.6061,6.6422,6.5631,6.589,6.5832,6.5862
Usp8,7.0073,6.7576,6.9346,7.0649,6.8444,6.8263,6.7419,6.6863,6.8291,6.8867,6.839,6.8712
Kbtbd8,8.1208,8.0901,7.9504,7.7973,8.0509,8.0197,7.8723,7.9517,7.8434,7.7212,7.8316,7.7483
Angptl1,6.6308,6.7142,6.6868,6.6569,6.7176,6.6232,6.7768,6.6931,6.6587,6.6181,6.7321,6.7143
Hist1h2ao,10.1875,10.3865,9.9896,10.3211,10.331,10.3157,10.3634,10.3615,10.6813,10.2565,10.3254,10.3268
AC132246.1,6.6742,6.5546,6.5432,6.6039,6.6261,6.5964,6.6134,6.7101,6.6137,6.6696,6.6947,6.5742
Dnahc1,6.6009,6.5193,6.6675,6.7082,6.6676,6.577,6.6767,6.7103,6.7369,6.5863,6.605,6.636
1700008F21Rik,6.6597,6.5959,6.626,6.6239,6.6228,6.5767,6.5609,6.4884,6.5922,6.5946,6.5695,6.5864
Ppp1r15b,7.1519,7.2302,7.0467,7.1129,7.2129,7.1986,7.4844,7.4114,7.3115,7.5926,7.3403,7.2553
2310047M10Rik,7.3315,7.6954,7.6061,7.522,7.6109,7.718,7.5419,7.5592,7.7297,7.6129,7.5952,7.6212
D030016E14Rik,6.856,6.81,6.793,6.8211,6.8357,6.741,6.8815,6.9812,6.8897,6.9121,6.9569,6.8389
Lin28b,7.6956,7.5746,7.7079,7.703,7.7511,7.7969,7.0654,7.4019,7.3381,7.1872,7.3179,7.5453
Fam105b,10.0256,9.9309,10.0692,10.0589,10.1026,9.9585,9.955,10.0548,9.8444,9.663,9.8178,9.6227
Prpsap2,8.3499,8.4216,8.7178,8.6954,8.7199,8.889,8.2736,8.0602,7.9809,8.5251,8.3286,8.5362
Iigp1,6.6087,6.7106,6.6924,6.6905,6.7506,6.7436,6.7089,6.7695,6.7549,6.6182,6.6533,6.6881
Slc44a2,9.0478,8.9643,8.9948,8.9106,9.007,8.763,8.9407,8.9254,8.8107,8.8633,8.7453,9.1893
Ppp2r5d,7.0442,6.9012,6.9437,7.0462,6.8983,6.8859,6.8274,6.8204,6.9703,6.7327,6.9804,6.9424
Tbcb,10.8816,10.8781,10.9924,10.8226,10.9252,10.9924,11.0813,10.8806,10.7588,10.9966,10.8463,10.8096
Spib,6.7027,6.7732,6.6974,6.6421,6.6938,6.7223,6.6765,6.6991,6.6746,6.7282,6.7397,6.691
Gpi1,11.5163,11.5187,11.524,11.3159,11.2311,11.2236,11.3886,11.2498,11.2162,11.3079,11.0779,11.3338
Plac9,6.8586,6.9157,6.8868,6.7932,6.6034,6.7393,6.8157,6.7604,6.8649,6.7107,6.5792,6.8115
BX324112.1,6.6748,6.6207,6.6461,6.6692,6.6788,6.5945,6.655,6.7056,6.6429,6.6305,6.649,6.6601
Dio2,6.6637,6.6389,6.6125,6.6617,6.6712,6.6146,6.7618,6.7824,6.6721,6.6619,6.6127,6.6927
Siah1a,8.1759,8.1973,8.1602,8.0786,8.0778,7.8603,7.9646,7.9883,7.9117,7.9604,7.7851,8.0592
1700018A04Rik,6.7016,6.7989,6.7213,6.7828,6.7807,6.7769,6.7238,6.7619,6.8002,6.7683,6.8658,6.8431
H2-DMa,6.7969,6.8442,6.7278,6.8877,6.8633,6.6823,6.8765,6.7774,6.7648,6.8358,6.7784,6.9303
AC164303.1,6.5354,6.654,6.6792,6.6629,6.631,6.5598,6.6119,6.6677,6.5595,6.6065,6.5411,6.6114
Atp5d,10.5632,10.9252,10.4856,10.4501,10.7265,10.7654,10.6305,10.7891,10.8921,10.7823,10.9022,10.8542
Papss2,6.5508,6.6292,6.592,6.6037,6.6045,6.599,6.698,6.6888,6.6395,6.7006,6.6941,6.6408
Acd,9.8778,10.1114,9.9363,9.8468,9.9255,9.7304,9.9793,10.0916,9.803,10.1738,10.1953,10.4159
Foxa2,6.5759,6.7092,6.6033,6.5949,6.6204,6.5671,6.5624,6.6143,6.5742,6.615,6.5624,6.6088
Clec2i,6.6279,6.6293,6.6317,6.6343,6.6116,6.5698,6.5973,6.6238,6.6209,6.658,6.5531,6.5705
Serpina3h,6.6018,6.5877,6.5884,6.5133,6.5833,6.5943,6.5938,6.6314,6.5412,6.5748,6.5909,6.5109
Kcnq1,6.7976,6.6129,6.6927,6.6611,6.693,6.7048,6.7134,6.6972,6.7066,6.7207,6.5996,6.7041
Gabarapl2,6.6809,6.7604,6.7575,6.6831,6.781,6.8118,6.8689,6.7881,6.8321,7.1201,7.0176,6.9469
RP23-257N12.3,6.6386,6.5452,6.6325,6.621,6.6283,6.6053,6.674,6.633,6.5445,6.6361,6.6277,6.6093
4931429L15Rik,6.5836,6.5375,6.562,6.6112,6.6215,6.5476,6.6622,6.6013,6.5603,6.6479,6.5927,6.575
AC118698.1,10.5157,10.2935,10.4835,10.7097,9.9382,10.3539,10.3872,10.2553,10.2943,9.6532,10.0968,10.1904
Armcx2,9.7516,9.3289,9.7859,10.155,9.8902,9.5679,8.9786,8.9638,8.9323,8.3271,8.7263,9.4333
2610301G19Rik,8.1641,8.3046,8.1035,8.1768,8.5225,8.1997,8.5378,8.7145,8.6966,8.1205,7.8359,7.7919
Mageb2,6.5868,6.5833,6.6209,6.5935,6.5998,6.5419,6.6169,6.5934,6.6004,6.6531,6.54,6.6227
Taar3,6.8304,6.9776,6.7761,6.9608,6.8275,6.9542,6.9424,6.8627,6.9871,6.8581,6.8829,6.9486
Scamp1,8.9143,8.6038,9.0403,9.3293,9.0358,9.0966,9.3603,9.0161,8.9703,9.6537,9.5002,9.7059
A530006G24Rik,6.6581,6.7545,6.7523,6.6968,6.7587,6.7607,6.7758,6.6186,6.6585,6.6836,6.7511,6.6475
Hdac9,6.6093,6.6361,6.6906,6.6161,6.6073,6.6747,6.6631,6.5923,6.5491,6.5997,6.719,6.6031
