gene,pvalue
Mcph1,3100
Erbb4,2761.46
Dync1i2,2326.8
Pclo,2074.17
Ext1,1243.79
BC030500,1224.49
Incenp,1157.72
Sntg1,1081.57
Efnb2,1073.49
Amigo2,1060.08
Atf6,1018.9
2610017I09Rik,929.82
Cryl1,875.63
Gm7263,852.77
Runx1t1,806.4
Celf2,601.84
Cdh18,572.06
Trim29,571.65
4922505E12Rik,530.55
Phactr3,521.66
Atic,518.38
Ipcef1,518.06
Tmcc3,453.77
1600014C10Rik,440.79
Hormad2,323.32
Radil,236.58
Khdrbs3,203.16
Ptprm,188.84
4922505E12Rik,171.24
Uty,153.56
Il7,3205.98
Lrrtm4,3100
Nr2e3,2263.45
Tnc,1997.71
Gm815,1673.92
Cntnap5b,1503.48
Cetn1,1501.21
Mtss1,1426.02
Gm7665,1367.69
Gm16140,1167.2
Hivep1,906.47
Nalcn,902.03
Tbx3,809.86
Perp,759.47
Sema5a,721.4
Shroom2,672.44
Cxcr4,391.79
Rai14,358.31
Fam57b,71.5
1110017F19Rik,69.23
Accn1,3100
Zcchc13,3100
Tcf12,3100
Tnfrsf19,2125.76
Pdha1,2040.31
Gata3,1651.24
Dlgap1,1434.35
Fam38b,1285.66
A730017C20Rik,1175.53
Tmtc4,1132.96
Il1rapl1,1129.76
Reg3g,1020.26
Nebl,869.66
Abcd3,863.98
Ghitm,836.19
Tasp1,719.17
1110003E01Rik,645.88
B3galnt2,633.04
Slc15a4,581.54
Fign,569.62
Mecom,568.71
Ptprr,566.75
Arhgap6,520.13
Anks1b,464.97
Tpra1,461.43
Sphkap,354.39
Olfr16,267.01
Rpl31,184.78
Rchy1,3100
Tmem161b,3100
Car10,3100
Ankrd50,3100
Nrcam,2647.02
Grik2,2588.52
Gm17731,2453.09
Mat2b,1709.13
A330008L17Rik,1303.86
8430410K20Rik,1137
Wdr20b,1034.53
Npffr1,970.95
Gm9733,865.78
Pawr,848.97
Gm17394,801.86
4930444P10Rik,787.82
Hhat,760.27
Tmem53,682.71
Efhc2,612.15
Rusc2,436.13
1700018B24Rik,393.14
Tox,380.87
Gm11099,373.44
Mkln1,368.67
Rad21,364.74
9630041A04Rik,342.89
Phxr4,303.8
Vwc2,274.98
Traf3ip1,207.45
Heca,195.16
Klraq1,3100
Fbxl17,3100
Ndp,3100
Exoc4,3100
Cntn6,3100
Gm10650,2920.46
Gpr6,2630.97
Dnahc5,2528.29
Gabra2,2338.66
3110082D06Rik,2199.47
Kcnh8,2082.03
Gbe1,2023.35
Txnrd1,1805.3
Zic4,1612.7
Kirrel3,1605.35
Kcnh7,1552.82
Msx2,1379.61
Slc6a1,1372.44
Negr1,1265.6
Arglu1,1079.25
Akap9,881.86
Gm8439,871.53
Zfp608,839.23
Gpld1,819.3
Tnfrsf11b,764.63
Ube2e2,734.82
Acvr2a,705.43
Rdh10,656.63
Ddb2,524.43
Palm2,524.42
Zmat4,519.06
Hdac2,491.68
1110058L19Rik,480.71
Ntf3,468.06
2610019F03Rik,466.29
Prickle2,462.64
Sox6,453.66
Gcc1,437.55
Csrnp3,431.15
Phkb,404.86
